date,fomc_day,fomc_week,Mkt-RF,bus_week
1936-03-19,0,0,0.82,1.471043495990454
1936-03-20,1,0,-0.25,0.3538756892006445
1936-03-23,2,0,0.68,-0.7427230526663275
1936-03-24,3,0,-0.49,-1.491983387191309
1936-03-25,4,1,0.71,-0.42285809383550976
1936-03-26,5,1,-0.29,0.2791553184708695
1936-03-27,6,1,-1.34,1.455833803302986
1936-03-30,7,1,-0.08,2.5664389169008484
1936-03-31,8,1,0.59,3.089946561492729
1936-04-01,9,2,1.42,2.0548451992588257
1936-04-02,10,2,0.88,0.5857062326751317
1936-04-03,11,2,-0.26,-0.6606471851563933
1936-04-06,12,2,0.43,-0.40169158327287846
1936-04-07,13,2,-0.42,-1.0165571734189638
1936-04-08,14,3,-0.04,-2.3286494061071195
1936-04-09,15,3,-0.37,-1.4883396671040439
1936-04-10,16,3,0.0,-1.5180029192367939
1936-04-13,17,3,-0.19,-2.069502102889076
1936-04-14,18,3,-1.74,-4.012217119783978
1936-04-15,19,4,0.82,-2.52736641779
1936-04-16,20,4,-0.4,-2.0149631664651446
1936-04-17,21,4,-0.56,-4.277669840331921
1936-04-20,22,4,-2.17,-3.6808491977434854
1936-04-21,23,4,-0.22,-5.177374897625208
1936-04-22,24,5,1.35,-5.167871728142104
1936-04-23,25,5,-2.7,-8.67670725867461
1936-04-24,26,5,0.06,-4.85670929919676
1936-04-27,27,5,-3.69,-4.210122874286215
1936-04-28,28,5,-0.21,-0.28145487878659115
1936-04-29,29,6,-2.4,1.1475211661410967
1936-04-30,30,6,1.37,4.836918454578232
1936-05-01,31,6,0.74,1.610212470773531
1936-05-04,32,6,0.26,0.7932155271430874
1936-05-05,33,6,1.22,-0.2724219001336903
1936-05-06,34,7,1.16,-1.5138440341569082
1936-05-07,35,7,-1.75,-1.8059144848266873
1936-05-08,36,7,-0.07,2.341723732862566
1936-05-11,37,7,-0.8,2.4953438525456173
1936-05-12,38,7,-0.04,2.908631529370398
1936-05-13,39,8,0.86,0.705505564255815
1936-05-14,40,8,2.4,0.5257812830584685
1936-05-15,-6,-1,0.08,-2.0364481031601156
1936-05-18,-5,-1,-0.4,-1.321885824136404
1936-05-19,-4,-1,-2.18,-0.8066988826559762
1936-05-20,-3,-1,0.68,2.6815954931737496
1936-05-21,-2,-1,-0.21,1.9982753801381037
1936-05-22,-1,0,0.81,1.6609727358306348
1936-05-25,0,0,0.12,1.4895377059219728
1936-05-26,1,0,1.26,1.3273490719532655
1936-05-27,2,0,0.01,-0.12361533802434099
1936-05-28,3,0,-0.54,-0.33333477387090804
1936-05-29,4,1,0.64,-1.004726948629664
1936-06-01,5,1,-0.04,-1.7424699413614464
1936-06-02,6,1,-0.19,-0.8086498777789553
1936-06-03,7,1,-0.2,0.28453201916969206
1936-06-04,8,1,-1.21,0.9376877888336077
1936-06-05,9,2,-0.11,3.338776626810769
1936-06-08,10,2,0.91,2.5215012885869026
1936-06-09,11,2,0.91,1.6680867500633134
1936-06-10,12,2,0.45,1.738612625323488
1936-06-11,13,2,1.14,1.10053073429357
1936-06-12,14,3,-0.9,0.22087414890521462
1936-06-15,15,3,0.07,0.5242673097999528
1936-06-16,16,3,0.98,1.3982166708425225
1936-06-17,17,3,-0.18,0.06270837046400413
1936-06-18,18,3,0.26,1.0250425723839385
1936-06-19,19,4,-0.6,-0.10350368415975586
1936-06-22,20,4,0.94,0.0874453530636865
1936-06-23,21,4,-0.35,-1.1817435715640312
1936-06-24,22,4,0.78,-0.9437467673209299
1936-06-25,23,4,-0.86,-1.4548526581821597
1936-06-26,24,5,-0.41,-0.749112748834857
1936-06-29,25,5,-0.34,0.34714165397948804
1936-06-30,26,5,-0.11,0.19610742512039536
1936-07-01,27,5,0.26,-0.506037686478189
1936-07-02,28,5,-0.15,-0.16863546040004618
1936-07-03,29,6,0.69,1.151118181986277
1936-07-06,30,6,-0.49,2.1958809479935004
1936-07-07,31,6,-0.81,2.9763941579269204
1936-07-08,32,6,0.6,4.907396205852543
1936-07-09,33,6,1.17,4.250421458241371
1936-07-10,34,7,1.73,3.12723316734993
1936-07-13,35,7,0.27,1.6877298635296523
1936-07-14,36,7,1.05,1.7790023845999592
1936-07-15,37,7,-0.03,1.2250345339168023
1936-07-16,38,7,0.08,0.8200128892877689
1936-07-17,39,8,0.31,1.071861442668287
1936-07-20,40,8,0.36,0.5479120064187937
1936-07-21,41,8,0.5,0.958679682012975
1936-07-22,42,8,-0.43,0.36598693562104323
1936-07-23,43,8,0.33,0.09382848957688594
1936-07-24,44,9,-0.21,0.17364017381056307
1936-07-27,45,9,0.77,-0.37847428751417445
1936-07-28,46,9,-0.09,-0.9123199150297356
1936-07-29,47,9,-0.7,-0.8329783635654398
1936-07-30,48,9,0.41,-0.5932997614230051
1936-07-31,49,10,-0.76,-0.6428001599085076
1936-08-03,50,10,0.23,1.2894791195290134
1936-08-04,51,10,-0.01,0.8448281087279019
1936-08-05,52,10,-0.46,0.29012608392742223
1936-08-06,53,10,0.36,1.2170591359388139
1936-08-07,54,11,1.17,0.5514228363202367
1936-08-10,55,11,-0.21,-1.7245755653321648
1936-08-11,56,11,-0.56,-2.0889598427229483
1936-08-12,57,11,0.46,-1.3209528905641088
1936-08-13,58,11,-0.3,-1.3013074501680433
1936-08-14,59,12,-1.12,-1.4992988093452397
1936-08-17,60,12,-0.58,-3.0433530856955104
1936-08-18,61,12,0.22,-1.73655458574411
1936-08-19,62,12,0.48,-1.609092523243072
1936-08-20,63,12,-0.5,-2.70580646008588
1936-08-21,64,13,-2.67,-0.5741346820254511
1936-08-24,65,13,0.76,2.510896790904593
1936-08-25,66,13,0.35,1.9208181869077245
1936-08-26,67,13,-0.64,1.3926784215146926
1936-08-27,68,13,1.68,2.402931557960941
1936-08-28,69,14,0.35,0.49949390410031214
1936-08-31,70,14,0.18,0.759881232601245
1936-09-01,71,14,-0.17,0.5788393218219445
1936-09-02,72,14,0.35,1.6467905356968515
1936-09-03,73,14,-0.21,0.7756770343445574
1936-09-04,74,15,0.61,1.0685415131496567
1936-09-07,75,15,0.0,0.33521445515742876
1936-09-08,76,15,0.89,-0.21662922434593224
1936-09-09,77,15,-0.51,-1.3045636861679033
1936-09-10,78,15,0.08,-1.770810093520414
1936-09-11,79,16,-0.12,-1.1622759434203322
1936-09-14,80,16,-0.55,-0.1529199308281215
1936-09-15,81,16,-0.21,0.5599149293942229
1936-09-16,82,16,-0.98,0.9932325305530787
1936-09-17,83,16,0.7,1.6765840332340076
1936-09-18,84,17,0.9,1.0303773422581486
1936-09-21,85,17,0.16,-1.3126462749953771
1936-09-22,86,17,0.22,-1.1549987450832133
1936-09-23,87,17,-0.31,-1.549510823530298
1936-09-24,88,17,0.06,-1.6778944486977254
1936-09-25,89,18,-1.44,-1.6091102453338113
1936-09-28,90,18,0.32,1.5754163203864024
1936-09-29,91,18,-0.18,1.3729134967811474
1936-09-30,92,18,-0.44,2.2361370639246703
1936-10-01,93,18,0.13,2.985759201898386
1936-10-02,94,19,1.75,3.3560265874240214
1936-10-05,95,19,0.12,1.9644024456572096
1936-10-06,96,19,0.67,1.8421918154786443
1936-10-07,97,19,0.29,1.0025273751603114
1936-10-08,98,19,0.49,0.43854875984383757
1936-10-09,99,20,0.38,-0.16114403800575605
1936-10-12,100,20,0.0,0.4555135700479829
1936-10-13,101,20,-0.16,0.5861057376890466
1936-10-14,102,20,-0.27,0.6163299281150447
1936-10-15,103,20,-0.11,1.2519289239509401
1936-10-16,104,21,1.0,0.6741573803865197
1936-10-19,105,21,0.13,0.03622212569891481
1936-10-20,106,21,-0.13,-2.351539493000987
1936-10-21,107,21,0.36,-0.8066855068083578
1936-10-22,108,21,-0.68,-1.014244255747876
1936-10-23,109,22,0.36,0.8594289299065139
1936-10-26,110,22,-2.26,0.6483838912927142
1936-10-27,111,22,1.45,2.666706302045041
1936-10-28,112,22,0.15,1.1993162169000149
1936-10-29,113,22,1.2,2.7251371603600028
1936-10-30,114,23,0.15,2.6337808130830087
1936-11-02,115,23,-0.3,1.9266683941012053
1936-11-03,116,23,0.0,2.6423019735984044
1936-11-04,117,23,1.66,2.395960448861767
1936-11-05,118,23,1.11,0.7239429951424237
1936-11-06,119,24,-0.54,-1.2086497198271928
1936-11-09,120,24,0.4,-1.476834563740792
1936-11-10,121,24,-0.24,-0.5151542636657624
1936-11-11,122,24,0.0,1.0804326767726469
1936-11-12,-6,-1,-0.83,0.6862189893332316
1936-11-13,-5,-1,-0.81,0.808053680053411
1936-11-16,-4,-1,1.38,0.7165855398053811
1936-11-17,-3,-1,1.36,-2.720772775125868
1936-11-18,-2,-1,-0.39,-2.5384222110697574
1936-11-19,-1,0,-0.71,-2.3623045120234165
1936-11-20,0,0,-0.9,-1.6641197623359916
1936-11-23,1,0,-2.08,0.7570663908416098
1936-11-24,2,0,1.55,2.5166107487699207
1936-11-25,3,0,-0.21,0.3461458240052062
1936-11-26,4,1,0.0,-0.327588194454409
1936-11-27,5,1,1.54,0.1807411057538788
1936-11-30,6,1,-0.37,-1.2794469663016228
1936-12-01,7,1,-0.6,-1.566799775493366
1936-12-02,8,1,-0.88,-0.814191805969966
1936-12-03,9,2,0.51,0.47666465660367585
1936-12-04,10,2,0.06,0.7365784244945939
1936-12-07,11,2,-0.66,0.43454990633202684
1936-12-08,12,2,0.16,1.88030595994646
1936-12-09,13,2,0.41,1.6158403094912677
1936-12-10,14,3,0.77,1.0086348101814968
1936-12-11,15,3,-0.24,-0.21425428844329408
1936-12-14,16,3,0.77,-0.9344401035226935
1936-12-15,17,3,-0.1,-2.8416266292661363
1936-12-16,18,3,-0.19,-1.6453823925694167
1936-12-17,19,4,-0.45,-0.46288022716597377
1936-12-18,20,4,-0.96,0.2770240283026082
1936-12-21,21,4,-1.17,1.2490145681569143
1936-12-22,22,4,1.13,1.7612528286453877
1936-12-23,23,4,1.01,0.8455726143265396
1936-12-24,24,5,0.29,1.6542540698022634
1936-12-25,25,5,0.0,1.06636427659772
1936-12-28,26,5,-0.67,1.06636427659772
1936-12-29,27,5,0.22,1.2495108140968325
1936-12-30,28,5,1.82,1.8152634189251504
1936-12-31,29,6,-0.29,0.14534110592572258
1937-01-01,30,6,0.0,2.2645535192593824
1937-01-04,31,6,-0.49,2.653158822632573
1937-01-05,32,6,0.78,3.6641134568017986
1937-01-06,33,6,0.15,2.882363841529223
1937-01-07,34,7,1.82,2.9029094958161306
1937-01-08,35,7,0.38,1.1646163870673076
1937-01-11,36,7,0.49,1.0839910701618827
1937-01-12,37,7,0.02,0.2189076556893932
1937-01-13,38,7,0.17,-0.5325838534264382
1937-01-14,39,8,0.1,0.3511737623312472
1937-01-15,40,8,0.3,0.8424032842447859
1937-01-18,-6,-1,-0.37,0.05818519290172741
1937-01-19,-5,-1,-0.73,-0.21297520057497188
1937-01-20,-4,-1,1.06,-0.8764126576881304
1937-01-21,-3,-1,0.59,-1.3275985885951358
1937-01-22,-2,-1,-0.48,-1.8769230223398936
1937-01-25,-1,0,-0.64,-0.8416614585683546
1937-01-26,0,0,-1.39,0.06649160174465596
1937-01-27,1,0,0.6,2.16706596150138
1937-01-28,2,0,0.03,2.1569101895370313
1937-01-29,3,0,0.57,2.2181859529217363
1937-02-01,4,1,0.27,0.24639236886416782
1937-02-02,5,1,0.68,0.4563429263335861
1937-02-03,6,1,0.59,-0.5414356088902061
1937-02-04,7,1,0.09,-0.412897847971172
1937-02-05,8,1,-1.37,-0.054706652299962855
1937-02-08,9,2,0.48,1.333563163033591
1937-02-09,10,2,-0.32,0.13345428401281278
1937-02-10,11,2,0.72,0.5553649059960142
1937-02-11,12,2,0.45,-0.29324569934652267
1937-02-12,13,2,0.0,-0.4520618336233184
1937-02-15,14,3,-0.71,0.04567785720854811
1937-02-16,15,3,0.1,0.7610815361149825
1937-02-17,16,3,-0.13,-1.1414004229585273
1937-02-18,17,3,0.29,-0.7058563775605098
1937-02-19,18,3,0.5,-1.1414872798824915
1937-02-22,19,4,0.0,-1.3677306423265478
1937-02-23,20,4,-1.79,-1.2099190113542657
1937-02-24,21,4,0.31,1.546264899743277
1937-02-25,22,4,-0.15,2.3561244543220505
1937-02-26,23,4,0.27,1.8948299525249013
1937-03-01,24,5,0.16,2.5452008627634193
1937-03-02,25,5,0.95,1.9513887970645127
1937-03-03,26,5,1.11,1.113155486499262
1937-03-04,27,5,-0.6,0.5431376976820612
1937-03-05,-6,-1,0.91,0.13853754598114332
1937-03-08,-5,-1,-0.42,-1.1118296852936416
1937-03-09,-4,-1,0.12,-1.300509664805538
1937-03-10,-3,-1,0.54,-0.9949079668040484
1937-03-11,-2,-1,-1.0,-1.88116799097231
1937-03-12,-1,0,-0.35,-2.7830683660047817
1937-03-15,0,0,-0.61,-2.500149046648459
1937-03-16,1,0,0.43,-4.511163177389699
1937-03-17,2,0,-0.36,-3.683967239565622
1937-03-18,3,0,-1.91,-2.4756669490142214
1937-03-19,4,1,-0.06,-0.6462778898459587
1937-03-22,5,1,-2.66,-0.5866298677666082
1937-03-23,6,1,1.3,1.680656773835576
1937-03-24,7,1,0.89,1.720807082532061
1937-03-25,8,1,-0.07,1.0352074312671267
1937-03-26,-6,-1,0.0,0.2162489801580847
1937-03-29,-5,-1,-0.44,-0.9863460076038111
1937-03-30,-4,-1,1.34,-0.15095559625777355
1937-03-31,-3,-1,0.21,-2.1116779010085795
1937-04-01,-2,-1,-0.88,-5.218003260501558
1937-04-02,-1,0,-1.2,-4.1565825948352675
1937-04-05,0,0,0.4,-2.594761724164063
1937-04-06,1,0,-0.65,-2.4977445545666277
1937-04-07,2,0,-2.97,-0.7704776236762023
1937-04-08,3,0,0.23,2.4202480262684345
1937-04-09,4,1,0.41,1.8275737385778035
1937-04-12,5,1,0.5,0.9757147410635492
1937-04-13,6,1,1.11,0.8852887278625987
1937-04-14,7,1,0.15,0.05713335604848879
1937-04-15,8,1,-0.35,0.976280262564333
1937-04-16,9,2,-0.43,0.1352334726202331
1937-04-19,10,2,0.41,-0.9307838767920074
1937-04-20,11,2,0.28,-4.472846279762999
1937-04-21,12,2,1.07,-3.5202420344475294
1937-04-22,13,2,-1.18,-7.319484507019968
1937-04-23,14,3,-1.49,-5.931433880328929
1937-04-26,15,3,-3.18,-2.006737841836914
1937-04-27,-6,-1,1.28,1.4850691654514803
1937-04-28,-5,-1,-2.91,1.4650286699606774
1937-04-29,-4,-1,0.3,3.7328122956050924
1937-04-30,-3,-1,2.62,3.918972875995985
1937-05-03,-2,-1,0.27,1.1240365561972387
1937-05-04,-1,0,1.26,-0.993849918002554
1937-05-05,0,0,-0.74,-2.313801553502215
1937-05-06,1,0,0.48,-1.8709364587921051
1937-05-07,2,0,-0.14,-5.240216606255965
1937-05-10,3,0,-1.83,-4.186908379067333
1937-05-11,4,1,-0.09,-3.5134742014321763
1937-05-12,5,1,-0.29,-2.451166340573163
1937-05-13,6,1,-2.97,-2.2163682252560934
1937-05-14,7,1,0.97,2.963554142281599
1937-05-17,8,1,-1.14,2.2497333252112117
1937-05-18,9,2,1.01,3.4598505413804936
1937-05-19,10,2,-0.05,1.3191606331388828
1937-05-20,11,2,2.17,1.167105864804996
1937-05-21,12,2,0.27,-0.9320843518279553
1937-05-24,13,2,0.03,-1.0802860806323977
1937-05-25,14,3,-1.08,-1.109953094703997
1937-05-26,15,3,-0.2,-1.379871338380001
1937-05-27,16,3,0.05,-0.5498021191840063
1937-05-28,17,3,0.12,-0.46034167131518977
1937-05-31,18,3,0.0,0.43444151382079355
1937-06-01,-6,-1,-1.35,-0.06773069374831353
1937-06-02,-5,-1,0.64,1.6341062290545771
1937-06-03,-4,-1,0.14,0.4323515945894085
1937-06-04,-3,-1,1.02,-0.09919570264578237
1937-06-07,-2,-1,-0.5,-2.3836033241750765
1937-06-08,-1,0,0.33,-4.267256405758834
1937-06-09,0,0,-0.55,-3.6184149262005527
1937-06-10,1,0,-0.39,-3.986690464944076
1937-06-11,2,0,-1.29,-2.752908352657446
1937-06-14,3,0,-2.42,-0.7431416931439339
1937-06-15,4,1,1.01,0.9860718662089818
1937-06-16,5,1,-0.93,-0.20364623616494493
1937-06-17,6,1,0.89,1.3778645684098256
1937-06-18,7,1,0.75,0.9156401883773979
1937-06-21,8,1,-0.72,-0.30636557866795533
1937-06-22,9,2,-0.18,-1.1096986521678232
1937-06-23,10,2,0.64,-0.7134241526773999
1937-06-24,11,2,0.43,0.38164837505043625
1937-06-25,12,2,-0.47,0.5915472713837966
1937-06-28,13,2,-1.52,2.259145513097671
1937-06-29,14,3,0.22,3.837475135152002
1937-06-30,15,3,1.75,6.676376371136006
1937-07-01,16,3,0.64,5.753769872791037
1937-07-02,17,3,1.18,5.3229367483092815
1937-07-05,18,3,0.0,3.8864309891407878
1937-07-06,19,4,2.96,5.257731878197447
1937-07-07,20,4,0.87,1.7307391142135753
1937-07-08,21,4,0.23,0.9945099127326884
1937-07-09,22,4,-0.2,1.1859591483250442
1937-07-12,23,4,1.32,1.1352647800142668
1937-07-13,24,5,-0.49,1.08535594425625
1937-07-14,25,5,0.14,2.507519529041291
1937-07-15,26,5,0.42,1.7807336406288732
1937-07-16,27,5,-0.25,1.6692430939203584
1937-07-19,28,5,1.27,2.1482861440871748
1937-07-20,29,6,0.91,0.6857107030984855
1937-07-21,30,6,-0.57,-0.421822136862271
1937-07-22,31,6,0.31,-1.052761008971037
1937-07-23,32,6,0.22,-1.6248814218391416
1937-07-26,33,6,-0.18,-1.5758018376353267
1937-07-27,34,7,-0.2,-1.2208357853566887
1937-07-28,35,7,-1.2,-1.567255699937098
1937-07-29,36,7,-0.27,0.026796839335174738
1937-07-30,37,7,0.27,-0.1136198011692735
1937-08-02,38,7,0.18,-0.7212860215869976
1937-08-03,39,8,-0.55,-0.592455588195151
1937-08-04,40,8,0.4,-0.22261354262083088
1937-08-05,41,8,-0.41,-0.6698229440732062
1937-08-06,42,8,-0.34,0.22782902249303127
1937-08-09,43,8,0.31,1.3743243574884323
1937-08-10,44,9,-0.18,0.4142445235774117
1937-08-11,45,9,-0.05,0.25329201782937627
1937-08-12,46,9,0.49,-0.5190444989663145
1937-08-13,47,9,0.8,-2.201974386037242
1937-08-16,48,9,-0.64,-4.035687366299056
1937-08-17,49,10,-0.34,-4.170902782650899
1937-08-18,50,10,-0.82,-3.2574205193909966
1937-08-19,51,10,-1.21,-2.9062677808044057
1937-08-20,52,10,-1.09,-3.417339151934895
1937-08-23,53,10,-0.78,-3.739574295801662
1937-08-24,54,11,0.61,-2.1775980270679507
1937-08-25,55,11,-0.46,-2.9943241741434035
1937-08-26,56,11,-1.73,-4.836204094887497
1937-08-27,57,11,-1.42,-4.371376354636636
1937-08-30,58,11,0.83,-2.4021523132480405
1937-08-31,59,12,-0.23,-3.205546279131244
1937-09-01,60,12,-2.35,-8.308671733393746
1937-09-02,61,12,-1.25,-7.022270097702499
1937-09-03,-6,-1,0.61,-3.8115960828484674
1937-09-06,-5,-1,0.0,-9.15592744053535
1937-09-07,-4,-1,-5.49,-10.527672936183263
1937-09-08,-3,-1,-0.98,-1.96006569962055
1937-09-09,-2,-1,2.16,-0.8709531190265518
1937-09-10,-1,0,-4.98,-1.48226184587672
1937-09-13,0,0,-1.51,1.7111146381761033
1937-09-14,1,0,3.56,2.258448283807457
1937-09-15,2,0,0.12,-0.5162353747237836
1937-09-16,3,0,1.53,-0.32744277305777336
1937-09-17,4,1,-1.9,-3.9008507146126914
1937-09-20,5,1,-0.98,-6.359656674921787
1937-09-21,6,1,0.75,-2.274357915435443
1937-09-22,7,1,0.31,-1.6244702708035907
1937-09-23,8,1,-2.11,-1.5165916119439737
1937-09-24,9,2,-4.41,0.6766235304195067
1937-09-27,10,2,3.34,4.942135877926557
1937-09-28,11,2,1.42,0.524695476639736
1937-09-29,12,2,0.42,-6.076512094592967
1937-09-30,13,2,0.07,-4.589374614314156
1937-10-01,14,3,-0.36,-4.846803102913489
1937-10-04,15,3,-1.01,-6.603947646175612
1937-10-05,16,3,-5.24,-9.302328388997495
1937-10-06,17,3,2.01,-4.286965374627993
1937-10-07,18,3,-0.2,-7.026716978451997
1937-10-08,19,4,-2.2,-8.209843926722215
1937-10-11,20,4,-3.87,-7.4871606938344275
1937-10-12,21,4,0.0,-11.654232307229794
1937-10-13,22,4,-0.91,-11.23900719907378
1937-10-14,23,4,-1.47,-2.6576134052210043
1937-10-15,24,5,-1.43,1.422606392164938
1937-10-18,25,5,-8.2,0.6611908627929042
1937-10-19,26,5,0.47,15.420446080801531
1937-10-20,27,5,8.67,13.398549145375927
1937-10-21,28,5,2.66,4.038238242329806
1937-10-22,29,6,-2.17,3.876090199092208
1937-10-25,30,6,5.26,8.930267745322196
1937-10-26,31,6,-1.29,1.458516528134024
1937-10-27,32,6,-0.3,2.784435749300007
1937-10-28,33,6,2.5,-1.215600466419997
1937-10-29,34,7,2.59,-4.376701251494552
1937-11-01,35,7,-1.96,-6.604400676476796
1937-11-02,36,7,0.0,-5.1564068885151855
1937-11-03,37,7,-4.18,-3.600971961486843
1937-11-04,38,7,-0.78,5.634501607638098
1937-11-05,39,8,0.2,6.464928046399998
1937-11-08,40,8,-0.44,6.496803773360016
1937-11-09,41,8,1.64,4.378848053479989
1937-11-10,42,8,5.0,1.790942729839995
1937-11-11,43,8,0.0,-3.511880667609779
1937-11-12,44,9,0.23,-5.277613251392522
1937-11-15,45,9,-2.42,-10.361983606650494
1937-11-16,46,9,-0.88,-11.886877101351867
1937-11-17,47,9,-0.47,-10.5978937659701
1937-11-18,48,9,-1.83,-11.702732414295792
1937-11-19,49,10,-5.15,-10.056771329627988
1937-11-22,50,10,-4.08,-1.4180489976607813
1937-11-23,-6,-1,0.57,1.3260482623084213
1937-11-24,-5,-1,-1.7,2.414167304998016
1937-11-25,-4,-1,0.0,3.008023615922184
1937-11-26,-3,-1,3.96,4.676753598500127
1937-11-29,-2,-1,-1.41,2.340758327737147
1937-11-30,-1,0,1.65,2.351138767774441
1937-12-01,0,0,-1.13,1.8476899789511725
1937-12-02,1,0,1.62,4.062442011466039
1937-12-03,2,0,1.64,0.9391351020488825
1937-12-06,3,0,-1.4,-1.6131433042111176
1937-12-07,4,1,1.15,-2.9502466305027397
1937-12-08,5,1,1.02,-3.8041693245102204
1937-12-09,6,1,-1.43,-4.223157302110836
1937-12-10,7,1,-0.93,-1.667683057457825
1937-12-13,8,1,-2.74,-1.3004381067286408
1937-12-14,9,2,0.26,2.8906907295782824
1937-12-15,10,2,0.58,2.942002663913823
1937-12-16,11,2,1.2,1.0587924342299937
1937-12-17,12,2,-0.56,-0.8585285289490985
1937-12-20,13,2,1.39,-0.5594291580589661
1937-12-21,14,3,0.31,-4.747329715264681
1937-12-22,15,3,-1.26,-8.156332669329103
1937-12-23,16,3,-0.72,-6.491352271092287
1937-12-24,17,3,-0.26,-4.212031889303869
1937-12-27,18,3,-2.88,-4.19282435609537
1937-12-28,19,4,-3.28,-1.1840528804579087
1937-12-29,20,4,0.53,5.426153673134282
1937-12-30,21,4,1.7,4.807418662021656
1937-12-31,22,4,-0.24,7.002500291816238
1938-01-03,23,4,0.17,6.755802466363958
1938-01-04,24,5,3.19,8.578228564172496
1938-01-05,25,5,-0.06,5.958209287839611
1938-01-06,26,5,3.83,5.322078353552029
1938-01-07,27,5,-0.47,0.2908011828535617
1938-01-10,28,5,1.88,0.8046995914063437
1938-01-11,29,6,0.7,-2.8265651072632902
1938-01-12,30,6,-0.66,-4.302983730757692
1938-01-13,31,6,-1.13,-4.71721482594365
1938-01-14,32,6,0.04,-2.1922740233136784
1938-01-17,33,6,-1.79,-3.5708115445764466
1938-01-18,34,7,-0.83,-1.9703678302669059
1938-01-19,35,7,-1.09,-2.3064581291245334
1938-01-20,36,7,1.49,-4.785588551689446
1938-01-21,37,7,-1.37,-7.515650009119568
1938-01-24,38,7,-0.16,-7.271850647894496
1938-01-25,39,8,-1.17,-6.138754271596724
1938-01-26,40,8,-3.6,-3.5365098792479954
1938-01-27,41,8,-1.42,-1.0348633512201943
1938-01-28,42,8,-1.11,-3.384005365403031
1938-01-31,43,8,1.06,-0.7070124915149356
1938-02-01,44,9,1.57,-2.8881962661917115
1938-02-02,45,9,-1.1,-1.4157912474847878
1938-02-03,46,9,-3.76,-0.47879270120203543
1938-02-04,47,9,1.63,4.10224375280539
1938-02-07,48,9,-1.16,2.0433486436531867
1938-02-08,49,10,3.11,4.0668711380032585
1938-02-09,50,10,-0.16,0.16095714998973776
1938-02-10,51,10,0.67,0.00044279558271131947
1938-02-11,52,10,-0.38,1.6792025882174322
1938-02-14,53,10,0.8,0.9443197748916443
1938-02-15,54,11,-0.76,1.6152790432366393
1938-02-16,55,11,-0.32,2.3934694107583976
1938-02-17,56,11,2.36,5.228601589467208
1938-02-18,57,11,-1.1,1.723037585754006
1938-02-21,-6,-1,1.47,3.430421229761582
1938-02-22,-5,-1,0.0,0.5967110590832103
1938-02-23,-4,-1,2.44,1.3914250764499592
1938-02-24,-3,-1,-1.05,-1.8352055927146838
1938-02-25,-2,-1,0.56,-1.5673481446099369
